sentiment_score,sentiment_label,Comments,Likes,Retweets,price_trend_label
0.4926,1,166,164,7241,0
-0.6808,-1,97,103,2433,0
0.2732,1,69,83,2079,0
0.0,0,49,59,1866,0
0.9061,1,176,412,4457,0
-0.296,-1,21,80,1722,0
0.6664,1,52,82,1766,0
0.3818,1,53,128,1419,0
0.5859,1,339,977,18700,0
0.0,0,53,78,2972,0
0.6369,1,143,139,8460,0
0.4019,1,68,51,1331,0
0.0,0,1181,4155,67300,0
0.0,0,1822,3684,58900,0
0.1779,1,489,2666,35300,0
-0.2023,-1,1366,3011,69500,0
0.0,0,504,1473,25400,0
0.4588,1,181,135,4949,0
0.9335,1,204,394,7557,0
0.0,0,141,220,4499,0
-0.0772,-1,269,188,7113,0
0.0,0,243,637,7063,0
0.6486,1,326,301,12000,0
-0.69,-1,153,347,3347,0
0.0,0,286,58,853,0
0.3612,1,299,556,5836,0
0.0,0,305,629,8691,0
0.4574,1,360,482,2885,0
0.0,0,17,37,743,0
0.4019,1,80,184,2275,0
0.3612,1,55,82,1348,0
-0.2363,-1,53,88,1443,0
0.296,1,46,63,1054,0
0.34,1,72,128,1790,0
0.0772,1,239,461,2283,0
-0.2748,-1,57,88,2168,0
-0.1154,-1,22,60,1164,0
0.0,0,2520,35600,238100,0
0.0,0,2282,29600,277700,0
0.0,0,868,6696,81100,0
0.4019,1,159,205,9440,0
0.0258,0,86,80,1285,0
0.4767,1,1077,2147,57500,0
0.6597,1,3772,9378,78800,0
0.6588,1,749,1646,31800,0
0.4404,1,222,1321,30100,0
0.5423,1,106,145,3524,0
0.4215,1,52,72,2643,0
0.0,0,34,46,734,0
0.0,0,72,46,1682,0
0.6588,1,87,103,1616,0
0.0,0,72,65,1261,0
0.296,1,42,37,1240,0
-0.4389,-1,183,191,4451,0
0.8122,1,119,402,9803,0
0.0,0,305,366,6518,0
0.7004,1,38,63,722,0
0.836,1,96,136,3607,0
0.8555,1,148,153,2795,0
0.296,1,82,61,1429,0
0.8319,1,38,80,1249,0
0.0,0,47,59,1391,0
0.0,0,1869,11100,140100,0
0.0,0,104,501,5344,0
0.296,1,215,228,12200,0
0.5707,1,186,197,5599,0
0.0,0,45,52,1659,0
0.0,0,919,11000,109200,0
0.0,0,6009,32000,275200,0
0.4939,1,3923,35500,335500,0
0.4939,1,1279,2865,61800,0
0.0,0,859,1628,49300,0
-0.4003,-1,594,1475,27300,0
0.0,0,33,44,875,0
0.0,0,76,124,4834,0
-0.5106,-1,114,109,1585,0
0.2732,1,73,199,4324,0
0.5549,1,44,50,908,0
0.4926,1,76,67,1351,0
0.7703,1,81,84,2377,0
-0.1045,-1,179,449,5745,0
0.0,0,44,85,1653,0
0.0,0,58,136,1422,0
0.4019,1,39,66,1468,0
0.8653,1,126,241,3921,0
0.0,0,251,225,2010,0
0.0,0,726,3860,120800,0
0.0,0,701,1487,27000,0
0.4019,1,58,81,1993,0
0.0,0,137,214,3616,0
0.0,0,106,50,2109,0
0.4019,1,64,64,1308,0
0.4019,1,57,78,1420,0
0.0,0,1994,15600,142100,0
0.7521,1,3652,26400,91800,0
0.802,1,6397,6627,99800,0
-0.1027,-1,444,998,24500,0
0.0,0,245,945,20600,0
0.0,0,911,2062,39800,0
0.9336,1,1673,5377,42800,0
-0.1511,-1,79,71,1578,0
0.9359,1,114,267,4713,0
0.128,1,79,86,1083,0
0.0,0,180,721,8181,0
0.5848,1,86,104,3086,0
0.4574,1,48,53,1114,0
-0.6124,-1,2398,9520,57200,0
-0.5943,-1,215,620,3025,0
0.0,0,344,219,3615,0
-0.4404,-1,155,361,4945,0
-0.1027,-1,41,60,999,0
0.0,0,35,137,1560,0
-0.7269,-1,161,275,1654,0
-0.5562,-1,110,209,1751,0
0.7003,1,14,33,570,0
0.0,0,27,65,921,0
0.6187,1,93,184,1721,0
0.5859,1,225,242,4835,0
-0.5574,-1,40,58,873,0
0.9393,1,73,150,2357,0
0.6249,1,66,136,1533,0
-0.5719,-1,42,84,956,0
-0.5423,-1,60,145,1515,0
-0.296,-1,23,41,643,0
0.669,1,24,46,738,0
0.2732,1,15,46,603,0
0.0,0,2241,19300,181100,0
0.0,0,3302,7988,111400,0
0.0,0,405,3026,49700,0
0.4019,1,110,109,2826,0
0.4019,1,44,37,837,0
0.0,0,16,37,741,0
0.0,0,2426,25100,204600,0
0.5423,1,1404,5231,77700,0
0.0258,0,2126,6355,92800,0
0.5562,1,1517,4166,62100,0
0.3182,1,508,1509,40600,0
0.0,0,110,163,5341,0
0.0,0,142,149,4306,0
0.4588,1,51,89,6453,0
0.4215,1,109,115,3839,0
0.4215,1,121,93,7999,0
-0.0258,0,331,727,23800,0
0.0,0,323,264,7176,0
0.0,0,68,82,2800,0
0.7003,1,85,89,2990,0
0.4215,1,16,44,821,0
0.9441,1,91,156,7732,0
0.5378,1,405,314,5255,0
0.0,0,127,161,2054,0
0.0,0,15,46,580,0
0.6249,1,31,54,1171,0
0.9018,1,97,185,3768,0
0.2023,1,99,153,2634,0
0.0,0,103,80,2473,0
0.6428,1,32,49,878,0
0.5709,1,100,180,2620,0
0.3832,1,47,74,1053,0
0.4019,1,46,64,1234,0
0.4404,1,36,53,963,0
0.5574,1,29,51,878,0
0.0,0,1500,7868,100700,0
0.0,0,69,238,3739,0
0.0,0,76,114,1555,0
0.4019,1,54,63,2112,0
0.296,1,101,103,3267,0
0.0,0,33,65,2725,0
0.0,0,30,46,2203,0
0.0,0,54,61,1121,0
0.0,0,23,48,1753,0
0.875,1,1349,14200,120400,0
0.296,1,1094,12300,144800,0
0.5826,1,981,8916,155100,0
0.8858,1,562,885,20800,0
0.4726,1,548,1223,18500,0
0.4588,1,49,59,1758,0
0.0,0,68,96,3094,0
0.0,0,344,226,10900,0
-0.296,-1,334,537,8760,0
0.8777,1,458,702,7380,0
0.8625,1,436,296,9208,0
0.0,0,194,154,2936,0
0.0,0,115,163,4805,0
0.0,0,114,116,1637,0
0.714,1,75,114,2914,0
-0.0772,-1,133,172,3909,0
0.0,0,24,49,993,0
0.4019,1,16,42,1010,0
0.3182,1,93,91,3257,-1
0.5648,1,77,76,1081,0
0.8534,1,81,87,2081,0
0.4199,1,22,41,591,0
0.0,0,19,44,685,0
0.0,0,74,161,9993,0
0.0,0,72,58,1007,0
0.296,1,15,41,653,0
0.8402,1,2359,20200,133500,0
0.4767,1,2280,6017,96600,0
0.6124,1,1499,3669,44200,0
0.4452,1,1755,5192,46100,0
0.0,0,1256,981,22000,0
0.0,0,126,188,4222,0
0.0,0,135,220,3837,0
0.0,0,64,72,1247,0
-0.0772,-1,116,239,5843,0
0.4588,1,16,44,666,0
0.4588,1,34,43,733,0
0.0,0,120,105,2969,0
0.5563,1,137,129,2033,0
0.0,0,46,145,2191,0
0.8519,1,138,167,8929,0
0.4588,1,61,48,856,0
0.0,0,55,75,1505,0
0.0258,0,46,83,1201,0
0.4767,1,81,92,1812,0
0.7311,1,139,123,2840,0
0.25,1,101,287,1747,0
0.3626,1,31,76,1099,0
0.0,0,72,107,2324,0
0.0,0,33,51,1006,0
-0.128,-1,71,123,1613,0
0.3182,1,31,77,1212,0
0.0,0,36,65,824,0
0.4404,1,66,66,904,0
0.0,0,116,146,2009,0
0.0516,1,20,43,723,0
-0.0717,-1,51,77,1144,0
0.0,0,56,63,1239,0
0.4033,1,42,87,1071,0
0.5927,1,45,77,1301,0
0.3182,1,14,39,412,0
0.0,0,97,131,1837,0
0.0,0,3559,45100,320400,0
0.0,0,1570,5661,76400,0
0.0,0,767,1694,29600,0
0.0,0,75,88,2344,0
0.0,0,97,68,2252,0
0.0,0,54,84,3606,0
0.0,0,45,75,1609,0
0.6597,1,193,238,4950,0
0.0,0,294,252,3960,0
0.0,0,49,70,1335,0
0.6124,1,57,146,1681,0
-0.4019,-1,65,113,1897,0
0.6597,1,52,74,1275,0
0.2023,1,204,297,6354,0
0.7416,1,136,172,3990,0
0.3802,1,105,286,3887,0
-0.0772,-1,25,43,496,0
0.6461,1,47,74,1119,0
0.0258,0,27,58,835,0
0.0,0,32,64,1189,0
0.0,0,2309,21700,206500,0
0.0,0,242,1112,13800,0
0.4019,1,54,53,1100,0
0.0,0,18,32,417,0
0.0,0,2038,42500,321800,0
-0.3818,-1,2078,10700,103400,0
0.0,0,1352,6882,83300,0
0.0,0,115,99,2185,0
0.0,0,449,351,9967,0
0.4457,1,335,374,8990,0
0.0,0,107,159,2519,0
0.4926,1,148,236,6307,0
0.2263,1,234,390,8933,0
0.0,0,496,792,11500,0
0.4404,1,90,59,1914,0
0.4019,1,70,89,1821,0
0.508,1,129,293,4900,0
0.2023,1,214,328,4048,0
0.6753,1,98,249,3009,0
-0.2047,-1,435,480,4782,0
0.8064,1,48,83,972,0
0.0,0,91,312,4976,0
0.0,0,48,80,1714,0
0.4019,1,47,60,1361,0
0.5859,1,67,63,1262,0
0.0,0,1007,18700,179800,0
-0.0258,0,3059,24900,213100,0
0.0,0,1574,3733,44100,0
0.0,0,546,1073,19600,0
0.7003,1,57,73,975,0
0.0085,0,218,331,5449,0
0.5267,1,154,145,1471,0
0.0,0,79,78,1419,0
-0.296,-1,92,138,2021,0
0.8176,1,133,72,1428,0
0.3182,1,179,244,2264,0
0.0,0,78,174,1856,0
0.4588,1,108,181,2581,0
0.8885,1,91,135,2027,0
0.0,0,1639,13300,156100,0
0.0,0,826,12400,93300,0
0.0,0,135,138,3573,0
0.0,0,30,49,758,0
-0.765,-1,42000,327800,1500000,0
0.0,0,955,3287,46900,0
-0.395,-1,605,916,18100,0
0.0,0,709,1763,40200,0
0.0,0,331,1253,15600,0
0.0,0,184,603,13700,0
0.0,0,586,511,17900,0
0.296,1,90,98,1809,0
0.4389,1,874,2744,26100,0
0.4215,1,188,289,3676,0
0.743,1,74,106,4176,0
-0.6696,-1,325,484,3954,0
0.0,0,366,546,5375,0
-0.296,-1,151,299,3864,0
-0.6124,-1,151,227,5977,0
-0.0342,0,89,243,2731,0
